date,hour,systemMarginalPrice
2020-01-08T03:00:00+03:00,2020-01-08T03:00:00+03:00,222.18
2020-01-08T04:00:00+03:00,2020-01-08T04:00:00+03:00,220.0
2020-01-08T05:00:00+03:00,2020-01-08T05:00:00+03:00,220.0
2020-01-08T06:00:00+03:00,2020-01-08T06:00:00+03:00,220.0
2020-01-08T07:00:00+03:00,2020-01-08T07:00:00+03:00,323.42
2020-01-08T08:00:00+03:00,2020-01-08T08:00:00+03:00,332.39
2020-01-08T09:00:00+03:00,2020-01-08T09:00:00+03:00,350.0
2020-01-08T10:00:00+03:00,2020-01-08T10:00:00+03:00,350.0
2020-01-08T11:00:00+03:00,2020-01-08T11:00:00+03:00,299.0
2020-01-08T12:00:00+03:00,2020-01-08T12:00:00+03:00,337.5
2020-01-08T13:00:00+03:00,2020-01-08T13:00:00+03:00,262.0
2020-01-08T14:00:00+03:00,2020-01-08T14:00:00+03:00,341.78
2020-01-08T15:00:00+03:00,2020-01-08T15:00:00+03:00,260.7
2020-01-08T16:00:00+03:00,2020-01-08T16:00:00+03:00,261.7
2020-01-08T17:00:00+03:00,2020-01-08T17:00:00+03:00,342.6
2020-01-08T18:00:00+03:00,2020-01-08T18:00:00+03:00,260.01
2020-01-08T19:00:00+03:00,2020-01-08T19:00:00+03:00,260.01
2020-01-08T20:00:00+03:00,2020-01-08T20:00:00+03:00,251.6
2020-01-08T21:00:00+03:00,2020-01-08T21:00:00+03:00,270.32
2020-01-08T22:00:00+03:00,2020-01-08T22:00:00+03:00,252.0
2020-01-08T23:00:00+03:00,2020-01-08T23:00:00+03:00,320.0
2020-01-09T00:00:00+03:00,2020-01-09T00:00:00+03:00,250.0
2020-01-09T01:00:00+03:00,2020-01-09T01:00:00+03:00,314.26
2020-01-09T02:00:00+03:00,2020-01-09T02:00:00+03:00,280.0
2020-01-09T03:00:00+03:00,2020-01-09T03:00:00+03:00,248.0
2020-01-09T04:00:00+03:00,2020-01-09T04:00:00+03:00,225.42
2020-01-09T05:00:00+03:00,2020-01-09T05:00:00+03:00,248.0
2020-01-09T06:00:00+03:00,2020-01-09T06:00:00+03:00,300.0
2020-01-09T07:00:00+03:00,2020-01-09T07:00:00+03:00,344.58
2020-01-09T08:00:00+03:00,2020-01-09T08:00:00+03:00,373.0
2020-01-09T09:00:00+03:00,2020-01-09T09:00:00+03:00,380.0
2020-01-09T10:00:00+03:00,2020-01-09T10:00:00+03:00,351.41
2020-01-09T11:00:00+03:00,2020-01-09T11:00:00+03:00,351.55
2020-01-09T12:00:00+03:00,2020-01-09T12:00:00+03:00,335.53
2020-01-09T13:00:00+03:00,2020-01-09T13:00:00+03:00,288.35
2020-01-09T14:00:00+03:00,2020-01-09T14:00:00+03:00,326.32
2020-01-09T15:00:00+03:00,2020-01-09T15:00:00+03:00,332.73
2020-01-09T16:00:00+03:00,2020-01-09T16:00:00+03:00,260.01
2020-01-09T17:00:00+03:00,2020-01-09T17:00:00+03:00,260.01
2020-01-09T18:00:00+03:00,2020-01-09T18:00:00+03:00,282.72
2020-01-09T19:00:00+03:00,2020-01-09T19:00:00+03:00,277.53
2020-01-09T20:00:00+03:00,2020-01-09T20:00:00+03:00,288.6
2020-01-09T21:00:00+03:00,2020-01-09T21:00:00+03:00,330.91
2020-01-09T22:00:00+03:00,2020-01-09T22:00:00+03:00,340.0
2020-01-09T23:00:00+03:00,2020-01-09T23:00:00+03:00,350.0
2020-01-10T00:00:00+03:00,2020-01-10T00:00:00+03:00,346.89
2020-01-10T01:00:00+03:00,2020-01-10T01:00:00+03:00,348.09
2020-01-10T02:00:00+03:00,2020-01-10T02:00:00+03:00,320.81
2020-01-10T03:00:00+03:00,2020-01-10T03:00:00+03:00,275.01
2020-01-10T04:00:00+03:00,2020-01-10T04:00:00+03:00,281.94
2020-01-10T05:00:00+03:00,2020-01-10T05:00:00+03:00,310.0
2020-01-10T06:00:00+03:00,2020-01-10T06:00:00+03:00,252.0
2020-01-10T07:00:00+03:00,2020-01-10T07:00:00+03:00,252.0
2020-01-10T08:00:00+03:00,2020-01-10T08:00:00+03:00,290.0
2020-01-10T09:00:00+03:00,2020-01-10T09:00:00+03:00,344.97
2020-01-10T10:00:00+03:00,2020-01-10T10:00:00+03:00,345.0
2020-01-10T11:00:00+03:00,2020-01-10T11:00:00+03:00,299.27
2020-01-10T12:00:00+03:00,2020-01-10T12:00:00+03:00,325.3
2020-01-10T13:00:00+03:00,2020-01-10T13:00:00+03:00,252.0
2020-01-10T14:00:00+03:00,2020-01-10T14:00:00+03:00,252.0
2020-01-10T15:00:00+03:00,2020-01-10T15:00:00+03:00,252.0
2020-01-10T16:00:00+03:00,2020-01-10T16:00:00+03:00,247.0
2020-01-10T17:00:00+03:00,2020-01-10T17:00:00+03:00,258.13
2020-01-10T18:00:00+03:00,2020-01-10T18:00:00+03:00,264.13
2020-01-10T19:00:00+03:00,2020-01-10T19:00:00+03:00,258.13
2020-01-10T20:00:00+03:00,2020-01-10T20:00:00+03:00,264.13
2020-01-10T21:00:00+03:00,2020-01-10T21:00:00+03:00,264.13
2020-01-10T22:00:00+03:00,2020-01-10T22:00:00+03:00,264.13
2020-01-10T23:00:00+03:00,2020-01-10T23:00:00+03:00,269.8
2020-01-11T00:00:00+03:00,2020-01-11T00:00:00+03:00,325.12
2020-01-11T01:00:00+03:00,2020-01-11T01:00:00+03:00,334.34
2020-01-11T02:00:00+03:00,2020-01-11T02:00:00+03:00,361.09
2020-01-11T03:00:00+03:00,2020-01-11T03:00:00+03:00,304.0
2020-01-11T04:00:00+03:00,2020-01-11T04:00:00+03:00,298.0
2020-01-11T05:00:00+03:00,2020-01-11T05:00:00+03:00,299.0
2020-01-11T06:00:00+03:00,2020-01-11T06:00:00+03:00,330.0
2020-01-11T07:00:00+03:00,2020-01-11T07:00:00+03:00,335.0
2020-01-11T08:00:00+03:00,2020-01-11T08:00:00+03:00,337.53
2020-01-11T09:00:00+03:00,2020-01-11T09:00:00+03:00,329.99
2020-01-11T10:00:00+03:00,2020-01-11T10:00:00+03:00,340.86
2020-01-11T11:00:00+03:00,2020-01-11T11:00:00+03:00,339.82
2020-01-11T12:00:00+03:00,2020-01-11T12:00:00+03:00,335.0
2020-01-11T13:00:00+03:00,2020-01-11T13:00:00+03:00,325.69
2020-01-11T14:00:00+03:00,2020-01-11T14:00:00+03:00,325.07
2020-01-11T15:00:00+03:00,2020-01-11T15:00:00+03:00,252.0
2020-01-11T16:00:00+03:00,2020-01-11T16:00:00+03:00,242.0
2020-01-11T17:00:00+03:00,2020-01-11T17:00:00+03:00,260.01
2020-01-11T18:00:00+03:00,2020-01-11T18:00:00+03:00,278.3
2020-01-11T19:00:00+03:00,2020-01-11T19:00:00+03:00,345.48
2020-01-11T20:00:00+03:00,2020-01-11T20:00:00+03:00,346.7
2020-01-11T21:00:00+03:00,2020-01-11T21:00:00+03:00,339.99
2020-01-11T22:00:00+03:00,2020-01-11T22:00:00+03:00,325.51
2020-01-11T23:00:00+03:00,2020-01-11T23:00:00+03:00,340.0
2020-01-12T00:00:00+03:00,2020-01-12T00:00:00+03:00,326.89
2020-01-12T01:00:00+03:00,2020-01-12T01:00:00+03:00,325.93
2020-01-12T02:00:00+03:00,2020-01-12T02:00:00+03:00,322.07
2020-01-12T03:00:00+03:00,2020-01-12T03:00:00+03:00,319.99
2020-01-12T04:00:00+03:00,2020-01-12T04:00:00+03:00,253.43
2020-01-12T05:00:00+03:00,2020-01-12T05:00:00+03:00,253.42
2020-01-12T06:00:00+03:00,2020-01-12T06:00:00+03:00,266.99
2020-01-12T07:00:00+03:00,2020-01-12T07:00:00+03:00,281.0
2020-01-12T08:00:00+03:00,2020-01-12T08:00:00+03:00,235.0
2020-01-12T09:00:00+03:00,2020-01-12T09:00:00+03:00,199.0
2020-01-12T10:00:00+03:00,2020-01-12T10:00:00+03:00,206.57
2020-01-12T11:00:00+03:00,2020-01-12T11:00:00+03:00,245.0
2020-01-12T12:00:00+03:00,2020-01-12T12:00:00+03:00,240.0
2020-01-12T13:00:00+03:00,2020-01-12T13:00:00+03:00,242.0
2020-01-12T14:00:00+03:00,2020-01-12T14:00:00+03:00,242.0
2020-01-12T15:00:00+03:00,2020-01-12T15:00:00+03:00,241.0
2020-01-12T16:00:00+03:00,2020-01-12T16:00:00+03:00,245.0
2020-01-12T17:00:00+03:00,2020-01-12T17:00:00+03:00,245.0
2020-01-12T18:00:00+03:00,2020-01-12T18:00:00+03:00,251.0
2020-01-12T19:00:00+03:00,2020-01-12T19:00:00+03:00,259.0
2020-01-12T20:00:00+03:00,2020-01-12T20:00:00+03:00,288.0
2020-01-12T21:00:00+03:00,2020-01-12T21:00:00+03:00,314.49
2020-01-12T22:00:00+03:00,2020-01-12T22:00:00+03:00,271.82
2020-01-12T23:00:00+03:00,2020-01-12T23:00:00+03:00,256.56
2020-01-13T00:00:00+03:00,2020-01-13T00:00:00+03:00,229.0
2020-01-13T01:00:00+03:00,2020-01-13T01:00:00+03:00,286.37
2020-01-13T02:00:00+03:00,2020-01-13T02:00:00+03:00,250.0
2020-01-13T03:00:00+03:00,2020-01-13T03:00:00+03:00,238.41
2020-01-13T04:00:00+03:00,2020-01-13T04:00:00+03:00,248.78
2020-01-13T05:00:00+03:00,2020-01-13T05:00:00+03:00,276.86
