delivery_hour,mcpPrice,matchingQuantity,reconstructed_clearing_price,reconstructed_clearing_volume,reconstruction_price_error,reconstruction_volume_error,slope_near_clearing,elasticity_near_clearing,curve_fragility_score,volume_needed_for_100TL_move,volume_needed_for_500TL_move,oversupply_pressure,cap_risk_score,zero_pressure_from_curve,spike_pressure_from_curve,supply_points,demand_points,status,supply_status,ptf_status,raw_dir
2026-05-19T05:00:00+03:00,200.01,16631.5,200.0088290788013,16631.596614872295,-0.001170921198678343,0.09661487229459453,30.874000000000525,12.7,43.574000000000524,676.4098224199624,1671.0033851278058,0.0,0.0,0.0,0.0,392,207,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T06:00:00+03:00,169.91,16614.400000000005,169.9061129171639,16652.30008641616,-0.0038870828360870746,37.9000864161535,688.8888888888628,2011.4444444443957,2700.3333333332585,1346.3534762064592,2646.4999135837606,9.831017064884031e-15,0.0,0.0,0.0,393,206,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T07:00:00+03:00,0.0,16128.8,0.0,16215.9,0.0,87.10000000000036,39.99999999996362,0.0,39.99999999996362,929.4000000000015,3920.7999999999993,0.01105088215886881,0.0,0.8110508821590507,0.0,395,202,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T08:00:00+03:00,0.0,15308.400000000005,0.0,15901.6,0.0,593.1999999999953,40.00000000014552,1.0000000000218279,41.00000000016735,959.4000000000015,3959.0,0.07444533883382799,0.0,0.8694453388329912,0.0,384,158,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T09:00:00+03:00,0.0,14539.699999999988,0.0,16335.949999999999,0.0,1796.250000000011,40.00000000014552,139.99999999996362,180.00000000010914,975.7000000000007,4228.200000000001,0.21996272025808108,0.0,0.31996272025753536,0.0,384,124,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T10:00:00+03:00,0.0,15207.600000000019,0.0,17655.1,0.0,2447.49999999998,60.00000000021828,100.0,160.00000000021828,984.4000000000015,4251.9000000000015,0.27720035570458385,0.0,0.47720035570349245,0.0,397,121,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T11:00:00+03:00,0.0,16008.79999999999,0.0,18484.85,0.0,2476.0500000000084,79.99999999992724,79.99999999992724,159.99999999985448,990.0999999999985,4240.0999999999985,0.2680627649128883,0.0,0.46806276491361587,0.0,398,121,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T12:00:00+03:00,0.0,16014.399999999996,0.0,19013.35,0.0,2998.9500000000025,90.00000000014552,70.00000000007276,160.00000000021828,993.2000000000007,4219.5999999999985,0.31542574033508036,0.0,0.515425740333989,0.0,410,122,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T13:00:00+03:00,0.0,16117.800000000014,0.0,18857.3,0.0,2739.4999999999854,110.00000000021828,79.99999999992724,190.00000000014552,988.7000000000007,4206.200000000001,0.29055060904795493,0.0,0.34055060904722734,0.0,411,122,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T14:00:00+03:00,0.0,15707.999999999995,0.0,17812.65,0.0,2104.650000000007,129.99999999992724,89.99999999996362,219.99999999989086,974.5,4246.600000000002,0.23642186872812293,0.0,0.23642186872812293,0.0,398,122,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T15:00:00+03:00,0.0,15670.100000000002,0.0,17173.45,0.0,1503.3499999999985,150.0,130.00000000010914,280.00000000010914,968.9000000000015,4226.9000000000015,0.1750201619360116,0.0,0.1750201619360116,0.0,446,183,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T16:00:00+03:00,0.0,17360.09999999999,0.0,17501.85,0.0,141.75000000000728,200.0,0.0,200.0,956.2999999999993,4295.5,0.016358270697097697,0.0,0.016358270697097697,0.0,470,225,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T17:00:00+03:00,171.01,18407.899999999987,171.0051111807078,18409.255966175966,-0.004888819292204971,1.3559661759791197,378.59999999999854,349.7999999999993,728.3999999999978,1188.2640610649214,2639.2440338242814,0.0,0.0,0.0,0.0,467,270,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T18:00:00+03:00,310.01,23484.000000000022,310.00748046462513,23484.082259767663,-0.002519535374858606,0.0822597676415171,14.545454545455883,88.38383838383757,102.92929292929345,386.317926614327,971.5573633090571,2.7884257005791413e-15,0.0,0.0,0.0,518,232,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T19:00:00+03:00,2100.0,26883.09999999999,1910.063949999986,26867.848456280874,-189.9360500000139,-15.251543719117763,0.08540925266903915,0.08896797153024912,0.17437722419928825,10.471752447770996,142.15874681308924,0.0,0.0,0.0,0.0001430116266903866,355,242,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T20:00:00+03:00,4000.01,27194.59999999999,3999.99275862069,27194.50021551724,-0.01724137931023506,-0.0997844827506924,0.33953395339534753,0.1370137013701446,0.4765476547654921,52.61724139537546,1322.0999481833278,0.0,0.6249909482758624,0.0,0.0023827313721028055,351,306,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T21:00:00+03:00,3599.99,26678.199999999983,3559.418181818183,26675.594624865113,-40.57181818181698,-2.6053751348699734,2.8297482074370732,0.08337502084375549,2.9131232282808286,74.04002148434665,292.6707091625394,0.0,0.0742727272727285,0.0,0.011998677884396838,352,303,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-19T22:00:00+03:00,1725.01,23430.1,1725.009794,23430.079999999838,-0.00020599999993464735,-0.020000000160507625,0.0030448020878516284,2.1783384080033965,2.1813832100912482,168.61502939375714,294.0236648045684,1.3974262684474677e-14,0.0,0.0,0.0009816651734753813,547,261,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
